Elevation,Body_length,Proboscis_length,Head_diameter,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen,Pollen_max
2080.3,12.69,,2.32,0,0,1,1,1
2080.3,1.22125,,0.2475,0,0.5,0.125,0.125,0.5
2080.3,1.55523809528571,,0.335714285714286,0.012987013,0.560606060571429,0.110389610428571,0.207792207857143,0.560606060571429
2080.3,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
2080.3,10.9,,1.895,0.5,0,0,0.5,0.5
2080.3,1.7875,,0.3025,0.375,0.625,1.25,0.25,1.25
2080.3,2.72108333325,1.0203055555,0.4935555555,0.64166666675,1.111111111,1.7194444445,1.5694444445,1.80277777775
2080.3,6.235,1.49787878790909,1.64557575754545,1.2183333333,2.5316666666,2.2266666666,1.9233333333,2.6266666666
2080.3,12.306944445,,1.91638888883333,1.11666666666667,1.55,1.87777777783333,1.65,2.1
2080.3,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
2080.3,1.3463636365,,0.29,0,0,0.090909091,0,0.090909091
2080.3,9.37083333325,1.36604166675,2.79083333325,0.95,2.51666666666667,1.73333333333333,1.4,2.51666666666667
2080.3,10.1616155457143,1.40552521014286,2.79350840342857,1.21533613442857,2.70448179271429,2.49229691885714,1.800070028,2.70448179271429
2080.3,10.1331111105,1.44920370366667,3.05414814816667,1.27777777783333,2.962962963,2.58333333333333,1.83333333333333,2.962962963
2080.3,1.925307425,,0.516095603,0.197365440142857,0.415251845428571,0.912994864857143,0.449858407857143,0.912994864857143
2080.3,9.2375,2.13,2.6095833335,1.4166666665,2.29166666675,3.125,2.125,3.125
2080.3,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
2080.3,2.866936508,0.4184814815,0.898111111142857,0.175510204142857,0.0489795918571429,0.295918367285714,0.142857142857143,0.453061224428572
2080.3,3.61333333333333,1.84,0.73,0.333333333333333,0,0,0,0.333333333333333
2080.3,2.84,,0.88875,0.375,0.5,0.75,0.625,1.125
2080.3,1.58605714284,,0.48695809524,0.13904761904,0.31676190476,0.46780952384,0.1003809524,0.61580952384
2080.3,7.04323593071429,1.62407936514286,1.97559523814286,1.16847041842857,2.66702741714286,2.55266955271429,1.83152958157143,2.73448773457143
2080.3,7.82704089028572,1.42185093171429,2.13418115942857,1.74637681157143,2.76112836442857,2.67775189785714,2.34178743971429,2.88017598342857
2080.3,7.37833333333333,1.67333333333333,2.12333333333333,1,2.66666666666667,2.5,2.33333333333333,2.66666666666667
2080.3,7.36633828057143,1.71218923928571,1.88203602342857,1.35327767457143,2.83549783557143,2.63078231285714,2.05667903528571,2.83549783557143
2080.3,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
2080.3,2.76,,0.81,0,0,1,0,1
2080.3,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
2080.3,2.922079365,0.5675,0.8500811688,0.3932178932,1.4295815296,1.2944444444,0.4839826842,1.4841269842
2080.3,9.95972222216667,2.16041666666667,2.75333333333333,1.375,2.86111111116667,2.84722222216667,2.38888888883333,2.90277777783333
2080.3,0.9,,0.3375,0,0,0,0.25,0.25
2080.3,7.319220191625,1.279396296875,2.100876437625,1.018498267375,2.244887109875,2.214752082875,1.488060915,2.30382104375
2080.3,2.85824175823077,0.5,0.762472527461538,0.598901098923077,0.747252747230769,0.802197802230769,0.410256410230769,1.20879120876923
2080.3,5.81001056794444,1.08089884588235,1.458914277,0.900837749058823,2.19643144205882,2.180472285,1.21386738905882,2.31285301064706
2080.3,0.974824561333333,,0.222543859666667,0,0.0175438596666667,0.0350877193333333,0.122807017666667,0.122807017666667
2080.3,9.13,5.445,1.33,0,0,0,0,0
2283.1,2.1202092525,,0.659420138875,0.364236111125,0.7977430555,0.825173611125,0.521875,0.9727430555
2283.1,2.84833333333333,0.9235,0.565333333333333,0.2,0.566666666666667,1.6,2.23333333333333,2.23333333333333
2283.1,4.798632445,1.19995101875,1.293515674,0.347360703875,1.89431818175,1.498203812375,0.587756598125,1.91931818175
2283.1,3.015,,0.7575,0,0.75,0.5,0.75,1.25
2283.1,6.325,3.365,1.255,0.5,0.5,0,0,0.5
2283.1,12.37729553375,3.46310482240541,3.702242473,2.01763094264865,2.49335536840541,3.09297706797297,2.50574080581081,3.22811220310811
2283.1,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
2283.1,2.2919444445,,0.571666666666667,0.222222222166667,0.777777777833333,0.5,0.5,0.9444444445
2283.1,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
2283.1,8.1257403508,1.9793052632,2.7276596492,1.4136842106,2.8621052632,2.607017544,2.507368421,2.8936842106
2283.1,1.3656428572,,0.3191428572,0.0542857142,0.3657142858,0.1628571428,0.0628571428,0.4057142858
2283.1,1.9595333334,,0.5467666666,0.2666666666,0.15,0.2166666666,0.07,0.3366666666
2283.1,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
2283.1,1.55523809528571,,0.335714285714286,0.012987013,0.560606060571429,0.110389610428571,0.207792207857143,0.560606060571429
2283.1,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
2283.1,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
2283.1,2.0410714285,,0.351130952333333,0.107142857166667,0.4464285715,0.4285714285,0.0833333333333333,0.6785714285
2283.1,2.72108333325,1.0203055555,0.4935555555,0.64166666675,1.111111111,1.7194444445,1.5694444445,1.80277777775
2283.1,2.85,,0.49,1,0.5,0.5,0.5,1
2283.1,6.235,1.49787878790909,1.64557575754545,1.2183333333,2.5316666666,2.2266666666,1.9233333333,2.6266666666
2283.1,7.3275,1.5825,1.1475,0.25,0,0.25,0,0.25
2283.1,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
2283.1,2.36542857142857,0.88,0.844285714285714,0.271428571428571,0.9,1,0.557142857142857,1.21428571428571
2283.1,4.63017973833333,1.56219696966667,0.861830065333333,0.145424836333333,0.00980392166666667,0.066993464,0.171568627333333,0.200980392
2283.1,9.37083333325,1.36604166675,2.79083333325,0.95,2.51666666666667,1.73333333333333,1.4,2.51666666666667
2283.1,10.1616155457143,1.40552521014286,2.79350840342857,1.21533613442857,2.70448179271429,2.49229691885714,1.800070028,2.70448179271429
2283.1,11.5665,7.511,2.177,1.2,1.4,1.55,1.5,2
2283.1,12.985483334,3.1452583333,4.5017777778,2.4706432748,3.2653216374,3.0066959064,2.6753216374,3.2816959064
2283.1,10.1331111105,1.44920370366667,3.05414814816667,1.27777777783333,2.962962963,2.58333333333333,1.83333333333333,2.962962963
2283.1,9.06,5.52,1.29,0,0,0,0,0
2283.1,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
2283.1,4.49,,0.22,0,0,0,0,0
2283.1,2.866936508,0.4184814815,0.898111111142857,0.175510204142857,0.0489795918571429,0.295918367285714,0.142857142857143,0.453061224428572
2283.1,2.2225,,0.565,0.75,1.5,0.5,0,1.5
2283.1,3.928076923,,0.923076923,1.192307692,0.923076923,2,1.730769231,2
2283.1,9.905,6.18,1.385,1,0.5,0,0,1
2283.1,7.04323593071429,1.62407936514286,1.97559523814286,1.16847041842857,2.66702741714286,2.55266955271429,1.83152958157143,2.73448773457143
2283.1,7.82704089028572,1.42185093171429,2.13418115942857,1.74637681157143,2.76112836442857,2.67775189785714,2.34178743971429,2.88017598342857
2283.1,7.7580153846,1.4340888888,2.0020820512,1.158095238,2.6692063492,2.5155555556,1.9015873016,2.6892063492
2283.1,7.36633828057143,1.71218923928571,1.88203602342857,1.35327767457143,2.83549783557143,2.63078231285714,2.05667903528571,2.83549783557143
2283.1,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
2283.1,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
2283.1,2.59125,,0.70333333325,0,0.33333333325,0.41666666675,0.58333333325,0.91666666675
2283.1,7.03,3.59,1.06,0.666666667,0,0,0,0.666666667
2283.1,9.75513888883333,,2.28541666666667,0.972222222166667,0.833333333333333,1.83333333333333,1.54166666666667,1.875
2283.1,5.77,,,0,2,0,0,2
2283.1,3.28222222233333,,0.904444444333333,0.777777777666667,1.22222222233333,1,0.777777777666667,1.33333333333333
2283.1,9.95972222216667,2.16041666666667,2.75333333333333,1.375,2.86111111116667,2.84722222216667,2.38888888883333,2.90277777783333
2283.1,,,,,,,,
2283.1,1.92003968266667,,0.284761904666667,0.23015873,0.246031746,0.523809523666667,0.261904762,0.523809523666667
2283.1,2.087,,0.415,0.2666666666,1.0333333334,0.8333333334,0.2,1.0333333334
2283.1,5.86733333333333,3.223,0.930333333333333,0.366666666666667,0.0333333333333333,0.1,0.0666666666666667,0.366666666666667
2283.1,3.00616441858333,0.5075,0.7972668145,0.281944444416667,0.734722222166667,0.445833333333333,0.172916666666667,0.784722222166667
2283.1,7.319220191625,1.279396296875,2.100876437625,1.018498267375,2.244887109875,2.214752082875,1.488060915,2.30382104375
2283.1,10.78453125,1.851197916625,3.3621875,1.46875,3.171875,2.567708333375,1.994791666625,3.171875
2283.1,8.29210502214286,,2.17211461342857,1.57857142857143,2.36251526242857,2.38736263742857,1.50818070814286,2.445054945
2283.1,2.85824175823077,0.5,0.762472527461538,0.598901098923077,0.747252747230769,0.802197802230769,0.410256410230769,1.20879120876923
2283.1,5.81001056794444,1.08089884588235,1.458914277,0.900837749058823,2.19643144205882,2.180472285,1.21386738905882,2.31285301064706
2283.1,11.882,1.0196666666,1.1606666666,1.6,1.7,1.7,1.5,2.2
2283.1,4.88,,1.1,1,1,1,0,1
2283.2,2.1202092525,,0.659420138875,0.364236111125,0.7977430555,0.825173611125,0.521875,0.9727430555
2283.2,2.84833333333333,0.9235,0.565333333333333,0.2,0.566666666666667,1.6,2.23333333333333,2.23333333333333
2283.2,4.798632445,1.19995101875,1.293515674,0.347360703875,1.89431818175,1.498203812375,0.587756598125,1.91931818175
2283.2,3.92255416675,,0.71445416675,0.13125,0.46041666675,1.06125,0.70875,1.06125
2283.2,4.32652777783333,0.25875,0.8281944445,1.06666666666667,1.7,2.12777777783333,1.52222222216667,2.18333333333333
2283.2,12.37729553375,3.46310482240541,3.702242473,2.01763094264865,2.49335536840541,3.09297706797297,2.50574080581081,3.22811220310811
2283.2,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
2283.2,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
2283.2,8.1257403508,1.9793052632,2.7276596492,1.4136842106,2.8621052632,2.607017544,2.507368421,2.8936842106
2283.2,1.56,,0.38,0,0,0,0,0
2283.2,1.22125,,0.2475,0,0.5,0.125,0.125,0.5
2283.2,1.3656428572,,0.3191428572,0.0542857142,0.3657142858,0.1628571428,0.0628571428,0.4057142858
2283.2,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
2283.2,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
2283.2,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
2283.2,1.7875,,0.3025,0.375,0.625,1.25,0.25,1.25
2283.2,2.0410714285,,0.351130952333333,0.107142857166667,0.4464285715,0.4285714285,0.0833333333333333,0.6785714285
2283.2,2.17,,0.63,0.5,0.5,0.5,0,1
2283.2,3.2731666666,0.4995454545,0.929,0.15,0.5,0.9,0.3166666666,0.9
2283.2,6.235,1.49787878790909,1.64557575754545,1.2183333333,2.5316666666,2.2266666666,1.9233333333,2.6266666666
2283.2,2.15,0.54,0.69,0,2,1,1,2
2283.2,12.306944445,,1.91638888883333,1.11666666666667,1.55,1.87777777783333,1.65,2.1
2283.2,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
2283.2,2.36542857142857,0.88,0.844285714285714,0.271428571428571,0.9,1,0.557142857142857,1.21428571428571
2283.2,4.63017973833333,1.56219696966667,0.861830065333333,0.145424836333333,0.00980392166666667,0.066993464,0.171568627333333,0.200980392
2283.2,9.37083333325,1.36604166675,2.79083333325,0.95,2.51666666666667,1.73333333333333,1.4,2.51666666666667
2283.2,10.1616155457143,1.40552521014286,2.79350840342857,1.21533613442857,2.70448179271429,2.49229691885714,1.800070028,2.70448179271429
2283.2,11.5665,7.511,2.177,1.2,1.4,1.55,1.5,2
2283.2,12.985483334,3.1452583333,4.5017777778,2.4706432748,3.2653216374,3.0066959064,2.6753216374,3.2816959064
2283.2,10.1331111105,1.44920370366667,3.05414814816667,1.27777777783333,2.962962963,2.58333333333333,1.83333333333333,2.962962963
2283.2,1.925307425,,0.516095603,0.197365440142857,0.415251845428571,0.912994864857143,0.449858407857143,0.912994864857143
2283.2,2.1025,,0.515,0.5625,0.875,0.6875,0.3125,1.0625
2283.2,2.48875,0.27625,0.49,0.375,0.5,1.125,0.25,1.375
2283.2,3.585,,1.14,0,0,0.5,0,0.5
2283.2,1.58605714284,,0.48695809524,0.13904761904,0.31676190476,0.46780952384,0.1003809524,0.61580952384
2283.2,7.5225,1.3075,2.0975,0.5,3,2.5,2,3
2283.2,3.928076923,,0.923076923,1.192307692,0.923076923,2,1.730769231,2
2283.2,7.20418115933333,1.45728787866667,2.488041063,1.11449275366667,2.388405797,2.57850241533333,1.52294686,2.57850241533333
2283.2,7.7580153846,1.4340888888,2.0020820512,1.158095238,2.6692063492,2.5155555556,1.9015873016,2.6892063492
2283.2,7.36633828057143,1.71218923928571,1.88203602342857,1.35327767457143,2.83549783557143,2.63078231285714,2.05667903528571,2.83549783557143
2283.2,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
2283.2,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
2283.2,7.03,3.59,1.06,0.666666667,0,0,0,0.666666667
2283.2,1.82378571428571,,0.446642857142857,0.0714285714285714,0.157142857142857,0.402380952428571,0.485714285714286,0.609523809571429
2283.2,8.913,1.84625,2.604,1,2,2.3125,1.0625,2.3125
2283.2,3.28222222233333,,0.904444444333333,0.777777777666667,1.22222222233333,1,0.777777777666667,1.33333333333333
2283.2,9.535,2.8625,2.985,1,2,2,1.25,2
2283.2,5.0595,1.0165,1.4060625,0.5375,1.38125,1.475,1.00625,1.6625
2283.2,1.92003968266667,,0.284761904666667,0.23015873,0.246031746,0.523809523666667,0.261904762,0.523809523666667
2283.2,0.9,,0.3375,0,0,0,0.25,0.25
2283.2,3.1247272728,,0.64,0.090909091,0.0363636364,1.0181818182,0.3272727272,1.2181818182
2283.2,10.78453125,1.851197916625,3.3621875,1.46875,3.171875,2.567708333375,1.994791666625,3.171875
2283.2,2.85824175823077,0.5,0.762472527461538,0.598901098923077,0.747252747230769,0.802197802230769,0.410256410230769,1.20879120876923
2283.2,5.81001056794444,1.08089884588235,1.458914277,0.900837749058823,2.19643144205882,2.180472285,1.21386738905882,2.31285301064706
2283.2,0.974824561333333,,0.222543859666667,0,0.0175438596666667,0.0350877193333333,0.122807017666667,0.122807017666667
2283.2,9.415,6.6,1.315,0,0,0,0,0
2283.2,12.0094444433333,9.07777777766667,1.72333333333333,1.611111111,0.888888889,1.27777777766667,1.05555555566667,1.72222222233333
2283.3,2.1202092525,,0.659420138875,0.364236111125,0.7977430555,0.825173611125,0.521875,0.9727430555
2283.3,2.84833333333333,0.9235,0.565333333333333,0.2,0.566666666666667,1.6,2.23333333333333,2.23333333333333
2283.3,4.798632445,1.19995101875,1.293515674,0.347360703875,1.89431818175,1.498203812375,0.587756598125,1.91931818175
2283.3,6.325,3.365,1.255,0.5,0.5,0,0,0.5
2283.3,4.32652777783333,0.25875,0.8281944445,1.06666666666667,1.7,2.12777777783333,1.52222222216667,2.18333333333333
2283.3,13.675,7.505,2.62,0.5,1.5,1,1,1.5
2283.3,12.37729553375,3.46310482240541,3.702242473,2.01763094264865,2.49335536840541,3.09297706797297,2.50574080581081,3.22811220310811
2283.3,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
2283.3,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
2283.3,1.22125,,0.2475,0,0.5,0.125,0.125,0.5
2283.3,1.3656428572,,0.3191428572,0.0542857142,0.3657142858,0.1628571428,0.0628571428,0.4057142858
2283.3,1.9595333334,,0.5467666666,0.2666666666,0.15,0.2166666666,0.07,0.3366666666
2283.3,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
2283.3,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
2283.3,9.87,,2.16,3,3,3,3,3
2283.3,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
2283.3,2.0410714285,,0.351130952333333,0.107142857166667,0.4464285715,0.4285714285,0.0833333333333333,0.6785714285
2283.3,10.4,1.78,2.87,2,4,3,3,4
2283.3,4.36666666666667,1.00666666666667,1.25,0.666666666666667,1,1,0.333333333333333,1
2283.3,6.235,1.49787878790909,1.64557575754545,1.2183333333,2.5316666666,2.2266666666,1.9233333333,2.6266666666
2283.3,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
2283.3,2.36542857142857,0.88,0.844285714285714,0.271428571428571,0.9,1,0.557142857142857,1.21428571428571
2283.3,4.63017973833333,1.56219696966667,0.861830065333333,0.145424836333333,0.00980392166666667,0.066993464,0.171568627333333,0.200980392
2283.3,10.1616155457143,1.40552521014286,2.79350840342857,1.21533613442857,2.70448179271429,2.49229691885714,1.800070028,2.70448179271429
2283.3,12.985483334,3.1452583333,4.5017777778,2.4706432748,3.2653216374,3.0066959064,2.6753216374,3.2816959064
2283.3,10.1331111105,1.44920370366667,3.05414814816667,1.27777777783333,2.962962963,2.58333333333333,1.83333333333333,2.962962963
2283.3,1.925307425,,0.516095603,0.197365440142857,0.415251845428571,0.912994864857143,0.449858407857143,0.912994864857143
2283.3,2.1025,,0.515,0.5625,0.875,0.6875,0.3125,1.0625
2283.3,6.267352941,1.1320588235,1.829117647,1.0294117645,2.676470588,2.588235294,1.882352941,2.676470588
2283.3,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
2283.3,2.43,,0.35,1,2,2,0,2
2283.3,1.58605714284,,0.48695809524,0.13904761904,0.31676190476,0.46780952384,0.1003809524,0.61580952384
2283.3,7.5225,1.3075,2.0975,0.5,3,2.5,2,3
2283.3,3.928076923,,0.923076923,1.192307692,0.923076923,2,1.730769231,2
2283.3,7.7580153846,1.4340888888,2.0020820512,1.158095238,2.6692063492,2.5155555556,1.9015873016,2.6892063492
2283.3,7.36633828057143,1.71218923928571,1.88203602342857,1.35327767457143,2.83549783557143,2.63078231285714,2.05667903528571,2.83549783557143
2283.3,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
2283.3,1.8,,0.6,0,0,1,0,1
2283.3,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
2283.3,1.31,,0.28,0,1,2,0,2
2283.3,1.82378571428571,,0.446642857142857,0.0714285714285714,0.157142857142857,0.402380952428571,0.485714285714286,0.609523809571429
2283.3,9.75513888883333,,2.28541666666667,0.972222222166667,0.833333333333333,1.83333333333333,1.54166666666667,1.875
2283.3,3.28222222233333,,0.904444444333333,0.777777777666667,1.22222222233333,1,0.777777777666667,1.33333333333333
2283.3,14.655,2.298,4.209,1.875,2.75,2.75,2.375,2.875
2283.3,5.0595,1.0165,1.4060625,0.5375,1.38125,1.475,1.00625,1.6625
2283.3,1.92003968266667,,0.284761904666667,0.23015873,0.246031746,0.523809523666667,0.261904762,0.523809523666667
2283.3,2.087,,0.415,0.2666666666,1.0333333334,0.8333333334,0.2,1.0333333334
2283.3,3.4225,0.48,0.884919355,0.5666666665,1.0666666665,0.6833333335,0.3333333335,1.0666666665
2283.3,3.1247272728,,0.64,0.090909091,0.0363636364,1.0181818182,0.3272727272,1.2181818182
2283.3,10.78453125,1.851197916625,3.3621875,1.46875,3.171875,2.567708333375,1.994791666625,3.171875
2283.3,8.29210502214286,,2.17211461342857,1.57857142857143,2.36251526242857,2.38736263742857,1.50818070814286,2.445054945
2283.3,2.85824175823077,0.5,0.762472527461538,0.598901098923077,0.747252747230769,0.802197802230769,0.410256410230769,1.20879120876923
2283.3,7.2066666665,0.6733333335,1.925,0.1666666665,1.1666666665,2.1666666665,0.8333333335,2.1666666665
2283.3,5.81001056794444,1.08089884588235,1.458914277,0.900837749058823,2.19643144205882,2.180472285,1.21386738905882,2.31285301064706
2283.3,12.0094444433333,9.07777777766667,1.72333333333333,1.611111111,0.888888889,1.27777777766667,1.05555555566667,1.72222222233333
2379.1,4.29333333333333,0.775,1.23666666666667,0,0.666666666666667,1.33333333333333,0.666666666666667,1.33333333333333
2379.1,4.798632445,1.19995101875,1.293515674,0.347360703875,1.89431818175,1.498203812375,0.587756598125,1.91931818175
2379.1,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
2379.1,2.2919444445,,0.571666666666667,0.222222222166667,0.777777777833333,0.5,0.5,0.9444444445
2379.1,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
2379.1,7.653,1.74666666666667,1.491,1.3666666666,1.75,2.3166666666,1.9833333334,2.3166666666
2379.1,1.9595333334,,0.5467666666,0.2666666666,0.15,0.2166666666,0.07,0.3366666666
2379.1,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
2379.1,1.55523809528571,,0.335714285714286,0.012987013,0.560606060571429,0.110389610428571,0.207792207857143,0.560606060571429
2379.1,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
2379.1,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
2379.1,2.0410714285,,0.351130952333333,0.107142857166667,0.4464285715,0.4285714285,0.0833333333333333,0.6785714285
2379.1,4.36666666666667,1.00666666666667,1.25,0.666666666666667,1,1,0.333333333333333,1
2379.1,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
2379.1,2.36542857142857,0.88,0.844285714285714,0.271428571428571,0.9,1,0.557142857142857,1.21428571428571
2379.1,4.63017973833333,1.56219696966667,0.861830065333333,0.145424836333333,0.00980392166666667,0.066993464,0.171568627333333,0.200980392
2379.1,1.925307425,,0.516095603,0.197365440142857,0.415251845428571,0.912994864857143,0.449858407857143,0.912994864857143
2379.1,8.6764285715,5.32491071425,1.26151785725,0.3839285715,0.20535714275,1.0089285715,0.16964285725,1.0089285715
2379.1,6.267352941,1.1320588235,1.829117647,1.0294117645,2.676470588,2.588235294,1.882352941,2.676470588
2379.1,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
2379.1,3.61333333333333,1.84,0.73,0.333333333333333,0,0,0,0.333333333333333
2379.1,1.58605714284,,0.48695809524,0.13904761904,0.31676190476,0.46780952384,0.1003809524,0.61580952384
2379.1,7.04323593071429,1.62407936514286,1.97559523814286,1.16847041842857,2.66702741714286,2.55266955271429,1.83152958157143,2.73448773457143
2379.1,7.82704089028572,1.42185093171429,2.13418115942857,1.74637681157143,2.76112836442857,2.67775189785714,2.34178743971429,2.88017598342857
2379.1,7.36633828057143,1.71218923928571,1.88203602342857,1.35327767457143,2.83549783557143,2.63078231285714,2.05667903528571,2.83549783557143
2379.1,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
2379.1,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
2379.1,1.82378571428571,,0.446642857142857,0.0714285714285714,0.157142857142857,0.402380952428571,0.485714285714286,0.609523809571429
2379.1,8.913,1.84625,2.604,1,2,2.3125,1.0625,2.3125
2379.1,1.1466666665,,0.3716666665,0.8333333335,0.3333333335,0.1666666665,0,0.8333333335
2379.1,14.655,2.298,4.209,1.875,2.75,2.75,2.375,2.875
2379.1,5.0595,1.0165,1.4060625,0.5375,1.38125,1.475,1.00625,1.6625
2379.1,7.319220191625,1.279396296875,2.100876437625,1.018498267375,2.244887109875,2.214752082875,1.488060915,2.30382104375
2379.1,2.85824175823077,0.5,0.762472527461538,0.598901098923077,0.747252747230769,0.802197802230769,0.410256410230769,1.20879120876923
2379.1,5.81001056794444,1.08089884588235,1.458914277,0.900837749058823,2.19643144205882,2.180472285,1.21386738905882,2.31285301064706
2379.2,2.1202092525,,0.659420138875,0.364236111125,0.7977430555,0.825173611125,0.521875,0.9727430555
2379.2,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
2379.2,2.2919444445,,0.571666666666667,0.222222222166667,0.777777777833333,0.5,0.5,0.9444444445
2379.2,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
2379.2,1.22125,,0.2475,0,0.5,0.125,0.125,0.5
2379.2,7.653,1.74666666666667,1.491,1.3666666666,1.75,2.3166666666,1.9833333334,2.3166666666
2379.2,1.9595333334,,0.5467666666,0.2666666666,0.15,0.2166666666,0.07,0.3366666666
2379.2,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
2379.2,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
2379.2,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
2379.2,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
2379.2,4.63017973833333,1.56219696966667,0.861830065333333,0.145424836333333,0.00980392166666667,0.066993464,0.171568627333333,0.200980392
2379.2,1.925307425,,0.516095603,0.197365440142857,0.415251845428571,0.912994864857143,0.449858407857143,0.912994864857143
2379.2,8.6764285715,5.32491071425,1.26151785725,0.3839285715,0.20535714275,1.0089285715,0.16964285725,1.0089285715
2379.2,6.267352941,1.1320588235,1.829117647,1.0294117645,2.676470588,2.588235294,1.882352941,2.676470588
2379.2,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
2379.2,2.866936508,0.4184814815,0.898111111142857,0.175510204142857,0.0489795918571429,0.295918367285714,0.142857142857143,0.453061224428572
2379.2,5.79,,1.91,1,0,0.5,0.5,0
